trade_date,open,high,low,close,vol,amount,outstanding_share,turnover
2025-04-24,11.24,11.25,10.95,11.02,19739000.0,219064899.0,1698913437.0,0.011618602555087097
2025-04-25,11.04,11.14,10.85,10.99,14618989.0,161033676.0,1698913437.0,0.008604905159744169
2025-04-28,11.29,11.64,11.12,11.15,33799745.0,385330073.0,1698913437.0,0.01989491887219678
2025-04-29,11.07,11.31,11.06,11.18,19701700.0,221031704.0,1698913437.0,0.0115966473458412
2025-04-30,11.27,11.51,11.19,11.39,30960804.0,353440595.0,1698913437.0,0.01822388552925431
2025-05-06,11.4,11.8,11.39,11.77,47004415.0,546543055.0,1698913437.0,0.02766733959265283
2025-05-07,11.99,12.95,11.79,12.63,117740122.0,1483532143.0,1698913437.0,0.06930319075462113
2025-05-08,12.6,13.02,12.41,12.74,104749177.0,1334668839.0,1698913437.0,0.06165657102869803
2025-05-09,12.74,12.76,12.18,12.28,61562167.0,762578648.0,1698913437.0,0.036236199949485716
2025-05-12,11.95,12.82,11.74,12.47,95116587.0,1177707796.0,1698913437.0,0.05598671770349886
2025-05-13,12.37,12.38,11.7,11.74,72136136.0,864740031.0,1698913437.0,0.04246015978741123
2025-05-14,11.75,12.01,11.65,11.73,36183186.0,427155168.0,1698913437.0,0.02129783967327583
2025-05-15,11.65,11.68,11.36,11.46,29448736.0,339201333.0,1698913437.0,0.017333864903677255
2025-05-16,11.42,11.67,11.42,11.49,22327900.0,258516117.0,1698913437.0,0.013142458887974526
2025-05-19,11.49,11.66,11.27,11.64,31312091.0,362038802.0,1698913437.0,0.018430657100041523
2025-05-20,11.56,11.75,11.5,11.69,25176618.0,294928917.0,1698913437.0,0.014819247085630061
2025-05-21,11.6,11.65,11.47,11.48,17807500.0,205734570.0,1698913437.0,0.010481699427514741
2025-05-22,11.44,12.45,11.44,12.07,76362706.0,925921908.0,1698913437.0,0.04494796752849509
2025-05-23,11.85,12.06,11.71,11.75,35531000.0,423324212.0,1698913437.0,0.02091395548836312
2025-05-26,11.74,11.85,11.59,11.78,23170565.0,272470117.0,1698913437.0,0.013638461204306786
2025-05-27,11.78,12.15,11.73,12.02,38994175.0,468429203.0,1698913437.0,0.022952420147348565
2025-05-28,12.07,12.43,11.95,12.28,41952381.0,514953117.0,1698913437.0,0.024693654241784657
2025-05-29,12.35,12.35,11.98,12.21,33038762.0,404062297.0,1698913437.0,0.019446995521055496
2025-05-30,12.15,12.7,11.96,12.45,40536642.0,503129705.0,1698913437.0,0.02386033397415527
2025-06-03,12.46,12.61,12.25,12.32,30217066.0,376031393.0,1698913437.0,0.017786112783567325
2025-06-04,12.24,12.31,12.08,12.12,29273800.0,356912721.0,1698913437.0,0.01723089556092551
2025-06-05,12.09,12.42,11.8,12.14,25368787.0,307682590.0,1698913437.0,0.014932359970498015
2025-06-06,12.12,12.51,12.01,12.04,27643414.0,339093495.0,1698913437.0,0.016271231598952853
2025-06-09,12.07,12.83,12.03,12.55,58911894.0,741707346.0,1698913437.0,0.03467621876252192
2025-06-10,12.45,12.8,12.2,12.5,34403351.0,429659502.0,1698913437.0,0.020250208310054117
2025-06-11,12.44,12.61,12.35,12.5,19153562.0,239364034.0,1698913437.0,0.011274007011105888
2025-06-12,12.43,12.43,12.16,12.17,22568900.0,277577172.0,1698913437.0,0.01328431426138635
2025-06-13,12.3,12.67,12.13,12.55,45286020.0,565209853.0,1701595557.0,0.02661385651467119
2025-06-16,12.56,12.92,12.39,12.57,33293017.0,422100509.0,1701595557.0,0.019565763946103203
2025-06-17,12.57,13.18,12.48,12.97,43234215.0,561357171.0,1701595557.0,0.025408044127844417
2025-06-18,12.95,14.24,12.9,13.7,60515632.0,826731313.0,1701595557.0,0.03556405148747106
2025-06-19,13.51,14.14,13.15,13.92,58525032.0,794182879.0,1701595557.0,0.03439420828247967
2025-06-20,13.76,13.79,13.07,13.11,48700000.0,657602024.0,1701595557.0,0.028620196967286744
2025-06-23,13.42,13.75,13.31,13.72,53775192.0,730435693.0,1701595557.0,0.03160280466106083
2025-06-24,13.61,15.04,12.99,14.72,98132805.0,1400119264.0,1701595557.0,0.05767105150004808
2025-06-25,14.84,16.2,14.73,15.93,151023051.0,2378765056.0,1701595557.0,0.08875378780740434
2025-06-26,15.64,17.29,15.35,15.93,168999449.0,2775443682.0,1701595557.0,0.09931822418363308
2025-06-27,15.62,17.52,15.61,17.52,207783480.0,3524261761.0,1701595557.0,0.12211096764164858
2025-06-30,17.67,19.27,17.41,19.27,201975492.0,3793187861.0,1701595557.0,0.11869770767155335
2025-07-01,19.8,20.56,18.33,19.24,276221965.0,5394211544.0,1701595557.0,0.16233115082117014
2025-07-02,18.34,18.48,17.31,17.31,154172880.0,2747968892.0,1701595557.0,0.09060489101876516
2025-07-03,17.25,17.78,16.76,16.96,129712819.0,2229911408.0,1701595557.0,0.07623011147765943
2025-07-04,16.92,17.21,16.65,16.77,107359112.0,1820494784.0,1701595557.0,0.06309320188240242
2025-07-07,16.81,17.87,16.64,17.75,129035659.0,2252698483.0,1701595557.0,0.07583215557255948
2025-07-08,17.57,17.58,17.13,17.34,85396319.0,1483352998.0,1701595557.0,0.050186026079286475
2025-07-09,17.47,18.49,17.26,17.7,117962826.0,2117017699.0,1701595557.0,0.06932483192890707
2025-07-10,17.49,18.28,16.99,17.97,106344105.0,1885088686.0,1701595557.0,0.062496698796916286
2025-07-11,17.79,18.19,17.43,17.91,82316300.0,1460057338.0,1701595557.0,0.04837594906813688
2025-07-14,17.8,18.48,17.59,18.06,84026935.0,1524391334.0,1701595557.0,0.049381261401589334
2025-07-15,17.99,17.99,17.27,17.62,79672019.0,1395918053.0,1701595557.0,0.046821948184012564
2025-07-16,17.5,17.56,17.1,17.15,60472310.0,1046662372.0,1701595557.0,0.035538591853528215
2025-07-17,17.05,18.36,17.02,18.16,120528535.0,2149778765.0,1701595557.0,0.07083265732810091
2025-07-18,18.22,19.58,18.05,19.19,167633904.0,3136029760.0,1701794667.0,0.09850418928360645
2025-07-21,19.19,21.1,18.68,20.68,173920707.0,3478422013.0,1701794667.0,0.10219840875785281
2025-07-22,20.68,22.0,19.63,19.81,210718454.0,4369408375.0,1701794667.0,0.12382131527739709
2025-07-23,19.4,20.08,19.06,19.11,132323745.0,2567917653.0,1701794667.0,0.0777554117226529
2025-07-24,18.9,19.6,18.89,19.31,96768827.0,1864547534.0,1701794667.0,0.05686281011244936
2025-07-25,19.46,20.0,19.12,19.63,95431101.0,1869791931.0,1701794667.0,0.05607674230653821
2025-07-28,19.68,21.44,19.51,21.14,145359667.0,2998154450.0,1701794667.0,0.08541551446758647
2025-07-29,21.1,22.22,20.74,21.59,159300766.0,3416214851.0,1701794667.0,0.0936075127564141
2025-07-30,21.5,21.92,20.29,20.67,141828502.0,2980203907.0,1701794667.0,0.08334054909810104
2025-07-31,20.28,21.3,20.21,21.29,117459205.0,2464949505.0,1701794667.0,0.06902078569035731
2025-08-01,21.31,21.32,19.68,20.1,103131136.0,2103712100.0,1701794667.0,0.06060139804163577
2025-08-04,19.79,21.88,19.79,21.6,140167777.0,2972440732.0,1701794667.0,0.08236468224870751
2025-08-05,22.0,22.58,21.28,21.51,154418111.0,3366267410.0,1701794667.0,0.09073839164874994
2025-08-06,21.52,23.66,21.31,23.66,179196330.0,4101012215.0,1701794667.0,0.10529844373992271
2025-08-07,24.2,24.5,22.21,23.65,199729715.0,4685340023.0,1701794667.0,0.117364167882893
2025-08-08,23.0,24.15,23.0,23.3,128020860.0,3009050377.0,1701794667.0,0.07522697213858409
