trade_date,open,high,low,close,vol,amount,outstanding_share,turnover,ts_code
2025-03-04,34.0,34.09,33.13,33.87,23263555.0,779275905.0,817111842.9999999,0.028470466068131636,002812.SZ
2025-03-05,33.6,33.63,32.79,33.03,14538254.0,480667945.0,817111842.9999999,0.017792244873875856,002812.SZ
2025-03-06,33.31,33.66,33.0,33.47,13911748.0,464708892.0,817111842.9999999,0.017025512626182807,002812.SZ
2025-03-07,33.33,33.33,32.49,32.6,13555814.0,445271935.0,817111842.9999999,0.016589912526821623,002812.SZ
2025-03-10,32.5,32.9,32.44,32.74,8182530.0,267395410.0,817111842.9999999,0.01001396573810276,002812.SZ
2025-03-11,32.4,32.8,32.17,32.78,9453751.0,306260473.0,817111842.9999999,0.011569714820545076,002812.SZ
2025-03-12,32.85,32.99,32.55,32.6,8476030.0,277482107.0,817111842.9999999,0.010373157692685653,002812.SZ
2025-03-13,32.63,34.28,32.63,33.22,19496597.0,653873470.0,817111842.9999999,0.02386037745875628,002812.SZ
2025-03-14,33.0,34.27,32.66,33.89,20010757.0,672355508.0,817111842.9999999,0.024489618124406507,002812.SZ
2025-03-17,34.05,35.27,33.7,34.98,23737670.0,819751282.0,817111842.9999999,0.02905069875483374,002812.SZ
2025-03-18,34.9,35.12,34.48,34.57,15150551.0,526785418.0,817111842.9999999,0.018541587825205468,002812.SZ
2025-03-19,34.55,34.63,33.61,33.89,12727142.0,433526651.0,817371867.0,0.015570809950570516,002812.SZ
2025-03-20,33.83,34.1,33.4,33.45,9051958.0,305190359.0,817371867.0,0.01107446728405689,002812.SZ
2025-03-21,33.36,33.8,32.09,32.2,16012657.0,523573283.0,817371867.0,0.01959041856770928,002812.SZ
2025-03-24,32.3,32.33,31.42,31.9,9256297.0,294473447.0,817371867.0,0.011324462431002656,002812.SZ
2025-03-25,31.97,32.24,31.77,32.13,6981232.0,223784703.0,817371867.0,0.008541072040591777,002812.SZ
2025-03-26,32.14,32.29,31.97,31.99,5816903.0,186701316.0,817371867.0,0.0071165931136702556,002812.SZ
2025-03-27,31.76,32.09,31.34,31.81,6803276.0,215506352.0,817371867.0,0.008323354735672594,002812.SZ
2025-03-28,31.82,32.09,31.54,31.56,6106123.0,193985506.0,817371867.0,0.007470434506647878,002812.SZ
2025-03-31,31.3,31.53,30.47,30.79,7384277.0,228026748.0,816996868.0,0.009038317390465199,002812.SZ
2025-04-01,30.79,31.2,30.79,30.86,5002149.0,154952484.0,816996868.0,0.0061226048665831605,002812.SZ
2025-04-02,30.85,31.22,30.79,31.19,4786805.0,148720022.0,816996868.0,0.005859024908771131,002812.SZ
2025-04-03,30.9,31.4,30.69,31.0,5333532.0,165736333.0,816996868.0,0.0065282159686320855,002812.SZ
2025-04-07,29.63,29.73,27.9,27.9,13738667.0,392002110.0,816996868.0,0.016816058345036397,002812.SZ
2025-04-08,27.74,28.39,27.5,28.05,10957603.0,306007728.0,816996868.0,0.013412050191604897,002812.SZ
2025-04-09,27.65,28.2,26.7,28.07,11410905.0,314693255.0,816996868.0,0.01396688952790453,002812.SZ
2025-04-10,28.7,28.97,28.29,28.36,10431660.0,299062638.0,816996868.0,0.012768298641751953,002812.SZ
2025-04-11,28.1,29.38,28.02,28.94,9357750.0,268946225.0,816996868.0,0.011453838278361675,002812.SZ
2025-04-14,29.4,29.45,28.77,28.9,8130836.0,236248360.0,816996868.0,0.009952101799244596,002812.SZ
2025-04-15,28.89,29.43,28.81,28.97,6211970.0,180431991.0,816996868.0,0.007603419600869265,002812.SZ
2025-04-16,28.89,28.89,28.26,28.63,5937260.0,169348547.0,816996868.0,0.007267175961805523,002812.SZ
